제목,저자,역자,글그림,그림,기획,감수,글,출판사,출간일,가격,평점,리뷰수,상세페이지링크,페이지 수,카테고리,책설명
빅터 프랭클의 죽음의 수용소에서,빅터 프랭클,이시형,,,,,,청아출판사,2020년 05월,8820,9.6,339,https://www.yes24.com/product/goods/90454414,224,국내도서 인문 심리 심리학 이론,"20세기를 대표하는 사상가이자 정신 의학자인 빅터 프랭클의 자전적인 에세이. 나치 강제 수용소에서 겪은 참혹한 고통을 건조하고 담담한 시선으로 술회한다. 그리고 자신의 이러한 경험을 분석해 정신 치료 기법인 로고테라피를 정립하고, 이 기법을 통해 인간이 어떻게 고난을 극복하고 삶을 살아가야 하는지 방향을 제시한다. 인간다움이란 무엇인가, 삶의 의미란 무엇인가에 대해 심리학적으로 접근하며 읽는 이에게 깊은 감동을 전한다."
기획의 감각,정병기,,,,,,,21세기북스,2025년 10월,17010,10.0,2,https://www.yes24.com/product/goods/158945176,236,국내도서 자기계발 기획 정보 시간관리,"“남들이 미쳤다고 말할 때 기획은 완성된다!” 원더걸스에서 2PM, 러블리즈, 이달의 소녀, tripleS까지K-POP 업계를 뒤바꾼 기획자의 시선, 그 안에 담긴 혁신적 감각에 대하여《기획의 감각》은 아이돌 산업의 화려한 무대 뒤에서 실제로 기획이 어떤 과정으로 이어지는지를 섬세하게 풀어낸 책이다. 시장 분석과 콘셉트 설정, 캐스팅과 트레이닝, 팬덤 운영과 콘텐츠 확장에 이르기까지, 수많은 성공과 시행착오 속에서 얻은 구체적인 사례와 철학을 담았다. 국내 1세대 A&R 프로듀서 정병기(Jaden Jeong)는 트렌드를 좇기보다 시대와 사람을 깊이 관찰하며, 본질을 읽어내는 기획 감각이야말로 콘텐츠와 브랜드를 성공으로 이끄는 힘임을 보여준다. 이 책은 K-POP 업계를 넘어, 기획과 창작, 브랜딩을 고민하는 모든 이들에게 통찰과 영감을 주는 지침서가 되어줄 것이다."
청춘의 독서,유시민,,,,,,,웅진지식하우스,2025년 04월,17010,9.4,530,https://www.yes24.com/product/goods/145629000,양,국내도서 인문 독서 비평 독서 에세이,"시대와 함께한 영원한 ‘청춘의 책’유시민의 『청춘의 독서』 특별증보판 출간!  “세상이 두려울 때마다 그들에게 길을 물었다” 『죄와 벌』부터 『자유론』까지, 유시민이 다시 펼쳐 든 오래된 지도 ★ 33만 부 기념 고급 양장 에디션★ 15번째 책 『자유론』 원고 및 특별판 서문 신규 수록혼탁한 정국마다 명료한 통찰을 전하며 ‘신경안정제’ 할을 해준 우리 시대의 지식인 유시민. 그의 대표작 중 하나로 2009년 처음 출간되어 오랜 시간 사랑받아온 『청춘의 독서』가 고급 양장 제본의 특별증보판으로 독자들과 새롭게 만난다. 존 스튜어트 밀의 『자유론』에 관한 이야기와 특별증보판 서문이 추가됐다. 문장도 전체적으로 손봤다. 『청춘의 독서』는 유시민이 ‘청년 시절 읽었던 고전을 다시 읽어보면 어떨까? 시대도 변하고 나이도 들었으니 뭔가 다르지 않을까?’라는 생각에 손때 묻은 책들을 다시 펴보면서 시작되었다. 어린 시절 아버지의 서재에서 우연히 발견한 『죄와 벌』, 침침한 스탠드 불빛 아래 엎드려 몰래 읽었던 『공산당 선언』, 노무현 전 대통령의 가슴 아픈 마지막을 떠올리게 한 『카타리나 블룸의 잃어버린 명예』, 사를 바라보는 새로운 눈을 뜨게 한 『사란 무엇인가』 그리고 21세기가 된 지 한참이 지난 지금 다시 자유의 가치를 떠올리게 한 『자유론』까지. 누구보다 뜨거웠던 청년 유시민을 만든 원천이자, 오늘의 유시민이 자신뿐만 아니라 우리에게 던지는 질문에 대한 답을 품고 있는 책이기도 하다. “사람들은 왜 모두 부자가 되고 싶어 할까?”, “인간은 원래 이기적인 존재일까?”, “내 머리로 생각한다는 것은 과연 무엇일까?”, “사실은 어떻게 왜곡되는가?” 그리고 “어떻게 살아야 할까?” 문명의 사에 거대한 이정표를 세운 15권의 위대한 책들. 그 안에는 앞서 살다 간 이들의 고민과 답이 담겨 있다. 『청춘의 독서』를 통해 그들이 남긴 발자취를 따라가다 보면 오늘을 사는 지혜를 배우고 더 나은 내일을 그리는 가슴 벅찬 경험을 하게 될 것이다."
Go Go 카카오프렌즈 자연탐사 13 아타카마 사막,조주희,,,김정한,김미영,,,아울북,2025년 10월,15210,10.0,3,https://www.yes24.com/product/goods/159167137,148,국내도서 어린이 3-4학년 3-4학년 만화 애니메이션 3-4학년 학습만화,"누적 200만 부 판매 초베스트셀러 〈Go Go 카카오프렌즈 사문화〉에 이은새로운 베스트셀러 〈Go Go 카카오프렌즈 자연탐사〉, 13권 아타카마 사막 편 출간!대체불가 주인공 ‘카카오프렌즈’가 지구의 자연, 생태, 기후, 환경을 탐사하러 새로이 나섰다!전 지구의 다양한 기후대와 생태계를 배경으로 벌어지는 본격 지구 자연 생태 탐사 학습만화   200만 부 신화의 〈Go Go 카카오프렌즈〉, 그 사를 잇는 자연탐사의 열세 번째 이야기 남아메리카의 고원 사막, 아타카마에서 펼쳐지는 카카오프렌즈의 활약〈Go Go 카카오프렌즈〉의 첫 번째 시리즈인 〈Go Go 카카오프렌즈 사문화〉는 깜찍한 캐릭터의 매력에 재미있는 스토리, 알찬 정보까지 겸비한 세계사 대표 학습만화다. 어린이 독자와 부모님의 마음까지 사로잡아 출간되자마자 베스트셀러에 오르고 단시간에 누적 판매 200만 부를 이룰 정도로 시리즈 전체가 꾸준한 사랑을 받고 있다. 바로 그, 〈Go Go 카카오프렌즈 사문화〉의 주인공인 ‘카카오프렌즈’가 사 퍼즐을 좇는 비밀 요원에서 지구 생물들의 유전 정보가 담긴 씨드볼을 찾는 탐사요원으로 변신했다. 자연탐사에 나선 카카오프렌즈는 씨드볼이 발견되는 전 지구 곳곳의 다양한 생태계와 기후대를 누비며 지구의 시작부터 현재까지 수십억 년을 오가는 대활약을 펼치게 된다.이번 탐사지는 남아메리카 대륙 서쪽 끝 태평양과 안데스산맥 사이에 자리한 아타카마사막이다. 세계에서 두 번째로 건조한 지으로, 고원 지대에 자리한 드넓은 모래 평원 위에 달의 계곡, 소금 호수, 거인 지상화 등 경이로운 풍경이 끝없이 이어진다. 해가 지면 수많은 별이 수놓은 밤하늘을 바라볼 수 있고, 위대한 탐험가 훔볼트의 발자취를 좇아 볼 수도 있는 등 신비로운 매력이 가득한 사막이기도 하다. 또한 훔볼트펭귄, 야레타, 비쿠냐 등 고원 사막에 적응한 독특한 동식물의 생태계를 엿볼 수 있다.지난 보르네오 탐사에서 얻은 안나의 스마트 워치로 보르네오 씨드볼을 되찾은 카카오프렌즈. 그러나 안티고는 이것을 기회로 씨드고와 카카오프렌즈의 통신을 스파이웨어로 감염시켜 아타카마 탐사를 혼란에 빠뜨린다. 안티고의 방해 공작과 탐사 곳곳마다 따라다니는 안티 & 안나 콤비의 훼방을 뚫고 라이언, 제이지, 그리고 네오와 프로도는 아타카마의 씨드볼을 모으기 위한 모험에 나선다. 알마 천문대, 달의 계곡, 소금 사막 등 아타카마의 세계적인 명소를 넘나들며 리튬 광산과 쓰레기 옷 산으로 드러나는 환경문제까지 두루 살펴보는 카카오프렌즈의 활약은 어린이 독자들에게 생태계에 대한 폭넓은 지식과 호기심을 불어넣을 것이다."
체인소 맨 1부 박스 세트,후지모토 타츠키,,,,,,,학산문화사,2024년 12월,63000,10.0,22,https://www.yes24.com/product/goods/140231293,0,없음,책소개 없음
시체는 거짓말하지 않는다,유성호,,,,,,,위즈덤하우스,2025년 10월,18000,10.0,6,https://www.yes24.com/product/goods/158940211,304,국내도서 인문 인문 교양 교양으로 읽는 인문,"국내 최고의 법의학자, 서울대학교 의과대학 유성호 교수는 지금도 매주 부검실에서 시체를 마주한다. 1999년 첫 부검 이후 지금까지 3,000건이 넘는 부검을 하며, 그는 사람이 어떻게 죽는지 누구보다 정확히 알게 되었다. 이 책은 그가 27년간 마주한 수많은 죽음을 토대로 한국인의 실제 사망 원인을 짚어내고, 우리 몸속의 장기를 본격적으로 탐구하며, 질병이나 사고로부터 죽음을 늦출 수 있는 길을 전문적이면서도 알기 쉽게 풀어냈다. 실제로 그가 경험한 충격적인 부검 사례들을 통해 우리 몸의 주요 장기와 생사를 좌우하는 치명적 질환을 면밀히 분석하며 동시에 ‘죽지 않고 건강하게 살 수 있는’ 방법도 전한다."
듀얼 브레인,이선 몰릭,신동숙,,,,,,상상스퀘어,2025년 03월,18900,8.7,176,https://www.yes24.com/product/goods/142876017,308,국내도서 자기계발 성공학 경력관리,"★ 〈뉴욕 타임스〉 베스트셀러★ 〈이코노미스트〉 선정 2024년 올해의 책★ 아마존 선정 2024년 과학 분야 올해의 책『듀얼 브레인』은 AI 시대를 살아가기 위해 꼭 읽어야 할 필독서다. 자 이선 몰릭은 〈타임〉에서 선정한 ‘인공지능 분야에서 가장 영향력 있는 인물’ 중 한 명이다. 여러 AI 기업에 자문을 제공하고, 와튼 스쿨에서 교육에 AI 활용을 접목하는 등 다양한 영에서 영향력을 발휘하고 있다. 그런 자가 생성형 AI를 둘러싼 모든 것에 관한 최고의 책을 집필했다. 이 책은 AI를 둘러싼 장밋빛 미래와 종말론의 소음을 뚫고, AI라는 동료와 함께 새로운 세상에 적응하는 방법이 무엇인지 알려 주는 실용적인 관점에서 접근한다. 챗GPT를 비롯한 LLM의 특징과 한계에 관해 명확히 알려 주고, AI를 실용적으로 활용하기 위한 원칙과 방법을 설명한다. 그리고 AI가 우리의 미래를 어떻게 바꿀 수 있을지, 그 가능성을 전문적인 시각에서 분석한다.“2025년은 AI에 결정적 한 해가 될 것이다.” 메타 CEO 마크 커버그의 말대로 전 세계가 AI 전쟁에 돌입했다. 눈앞에 무한한 가능성과 기회의 시대가 열린 셈이다. AI를 제대로 활용할 줄 안다면 새로운 세상에서 누구보다 우위에 설 수 있을 것이다. 이 책에 주목한다면, 그 기회는 당신의 몫이 될 것이다."
거인을 읽다,"신영준, 고영성",,,,,,,상상스퀘어,2025년 10월,22500,8.0,4,https://www.yes24.com/product/goods/155115043,496,국내도서 인문 인문 교양 교양으로 읽는 인문,"거인의 명언으로 문해력, 영어 실력, 삶의 지혜를 키우다!국내 성인 절반 이상이 1년에 단 한 권의 책도 읽지 않는 시대, 문해력 하는 더 이상 개인의 문제가 아니라 사회적 위기로 번지고 있다. 글을 읽고도 뜻을 이해하지 못하는 ‘문해력 결핍’은 업무 능력 하, 왜곡된 소통, 선동과 사기 등 다양한 사회 문제의 뿌리가 되고 있다. 무엇보다 심각한 것은, 문해력이 낮은 세대일수록 그 사실을 자각하지 못한 채 독서와 더 멀어지는 악순환에 빠져든다는 점이다. 이 악순환을 끊기 위해 기획된 책이 바로 『거인을 읽다』다.『거인을 읽다』는 아리스토텔레스부터 젠슨 황까지, 시대와 세대를 아우르는 위대한 거인들의 명언 1,400개를 모아 엮어냈다. 이 책은 명언 번문과 영어 원문을 함께 제공한다. 특히 영어 원문은 영어에서 가장 많이 쓰이는 핵심 단어 1,400개 중 반드시 1개는 포함하고 있어 영어 학습에도 매우 큰 도움이 된다. 이 책에 나오는 영어 명언을 단어 하나하나 꼼꼼하게 곱씹어 읽다 보면, 단어의 뉘앙스와 실제 쓰임을 익히는 동시에, 인생을 풍요롭게 하는 지혜를 배울 수 있을 것이다. 영어 공부와 문해력 공부 그리고 인생 공부까지, 가장 필수적인 량을 길러주는 이 책은 독서를 멀리해온 이들에게도 새로운 출발점이 될 것이다."
나는 소망한다 내게 금지된 것을,양귀자,,,,,,,쓰다,2019년 04월,13500,9.7,591,https://www.yes24.com/product/goods/72127217,368,국내도서 소설 시 희곡 한국소설 한국 장편소설,"거침없이 질주하며 여성 억압에 관한 담대한 질문을 퍼붓는 강렬한 주인공, 자신의 존재 조건에 스스로 신화적 의미까지 부여하는 주인공 강민주작가 양귀자의 장편소설. 1992년에 초판이 나오자마자 바로 페미니즘 논란과 함께 화제의 중심에 올랐고 그해 최고의 베스트셀러가 되었다. 1986년, 『원미동 사람들』로 80년대 한국사회의 부박한 삶을 축약해서 보여주고, 90년 첫 번째 장편소설 『희망』으로 급변하는 시대의 갈등과 모순을 굽이치는 이야기에 담아 묵직한 감동을 안겨줬던 작가가 펴낸 두 번째 장편소설이 『나는 소망한다 내게 금지된 것을』이다.젊은 여성이 인기 남자배우를 납치해서 감금하고 조종하는 이 소설은 발간 직후부터 독자와 평단의 관심을 집중시켰다. 우선은 지금까지의 양귀자 소설과는 달라도 너무 달랐다. 파격적인 줄거리와 주인공 강민주의 거침없고 대담한 행보는 동시대 이웃들의 고달픈 삶을 연민과 세심함으로 감싸 안았던 양귀자 소설 세계에서는 놀라울 만큼 대단한 변신이었다. 또한 이 소설은 여성 억압의 현실을 고스란히 뒤집어 학대당하고 조련당하는 남성을 보여주는, 앞선 페미니즘 소설에서는 전혀 볼 수 없었던 공격적인 방법으로 우리 사회에 만연한 성의 불평등 문제를 제기하면서 처음부터 소설의 흡인력을 최대치로 높이고 있다.거침없이 질주하며 남과 여 두 개의 성(性)에 관한 담대한 질문을 퍼붓는 강렬한 주인공, 자신의 존재 조건에 사회적 의미는 물론 신화적 의미까지 스스로 부여하는 주인공의 등장을 통해 이 소설은 한국 페미니즘 문학의 다양한 활로를 열었다는 평가를 받고 있다.『나는 소망한다 내게 금지된 것을』은 최근 양귀자 소설의 모든 작권을 양도받은 도서출판 「쓰다」에서 개정판으로 새롭게 출간되었다."
채식주의자,한강,,,,,,,창비,2022년 03월,15300,9.1,1707,https://www.yes24.com/product/goods/108422348,양,국내도서 소설 시 희곡 한국소설 한국 장편소설,"인터내셔널 부커상, 산클레멘테 문학상 수상작전세계가 주목한 한강의 작을 다시 만나다 2016년 인터내셔널 부커상을 수상하며 한국문학의 입지를 한단계 확장시킨 한강의 장편소설 『채식주의자』를 15년 만에 새로운 장정으로 선보인다. 상처받은 영혼의 고통과 식물적 상상력의 강렬한 결합을 정교한 구성과 흡인력 있는 문체로 보여주는 이 작품은 섬뜩한 아름다움의 미학을 한강만의 방식으로 완성한 작이다. “탄탄하고 정교하며 충격적인 작품으로, 독자들의 마음에 그리고 아마도 그들의 꿈에 오래도록 머물 것이다”라는 평을 받으며 인터내셔널 부커상을 수상했던 『채식주의자』는 “미국 문학계에 파문을 일으키면서도 독자들과 공명할 것으로 보인다”(뉴욕타임스), “놀라울 정도로 아름다운 산문과 믿을 수 없을 만큼 폭력적인 내용의 조합이 충격적이다”(가디언)라는 해외서평을 받았고 2018년에는 스페인에서 산클레멘테 문학상을 받는 등 전세계에서 뜨거운 반응을 일으켰다. 『채식주의자』는 어느 날부터 육식을 거부하며 가족들과 갈등을 빚기 시작하는 ‘영혜’가 중심인물로 등장하는 장편소설이다. 하지만 소설은 영혜를 둘러싼 세 인물인 남편, 형부, 언니의 시선에서 서술되며 영혜는 단 한번도 주도적인 화자의 위치를 얻지 못한다. 가족의 이름으로 자행되는 가부장의 폭력, 그리고 그 폭력에 항하며 금식을 통해 동물성을 벗어던지고 나무가 되고자 한 영혜가 보여주는 식물적 상상력의 경지는 모든 세대 독자를 아우르며 더 크나큰 공명을 이루어낼 것이다."
만화 나 혼자만 레벨업 15,추공,,DISCIPLES(REDICE STUDIO),,,,,디앤씨웹툰비즈,2025년 10월,14400,10.0,1,https://www.yes24.com/product/goods/154297237,272,국내도서 만화 라이트노벨 웹툰  다음 카카오 연재,"언제부턴가 나를 향해계속 외치는 이 목소리….“일어나라.”가정을 이루고 평화롭게 살아가던 성진우.그러나 아들 성수호가 물려받은 군주의 힘이 나날이 커져 가고, 진우는 수호가 성장할 때까지 그 힘과 기억을 봉인해 두기로 한다. 시간은 빠르게 흘러, 고등학생이 된 수호는 어느 날 자신의 앞에 나타난 게이트에 발을 들이게 되는데…!※ 15권은 웹툰 외전 12~21화(완결) 연재분의 편집본입니다."
너에게 들려주는 단단한 말,김종원,,,,,,,퍼스트펭귄,2024년 07월,16200,9.8,334,https://www.yes24.com/product/goods/128266166,284,국내도서 청소년 청소년 문학,"“틀린 문제는 있어도,  틀린 인생은 없는 거야!”100만 독자를 감동시킨 ‘생각 멘토’ 김종원 작가의 인생작삶의 첫 터널을 지나는 10대들을 단단하게 지켜줄 빛나는 문장들   출간 서 누적 판매량 100만 부. 20여 년간 집필한 책 100여 권. 각종 방송과 기업, 대학 및 단체를 대상으로 강연하며 소통해 온 인문교육 전문가. 부모들을 위해 집필한 다수의 인문학 책이 큰 사랑을 받으며 “대한민국 학부모들이 가장 사랑하는 인문학 멘토”로 불리게 된 그가 이번에는 청소년들을 위한 ‘생각 멘토’로 나섰다. 『너에게 들려주는 단단한 말』은 자가 처음으로 쓴 청소년을 위한 인생철학 에세이다. ‘나’라는 존재와 친구와의 관계, 공부와 성적, 꿈과 진로 등에 관한 고민이 커지는 청소년기는 인생이란 여정에서 어둡고 막막한 터널을 처음으로 마주하는 시기다. 어떤 생각을 키우고, 어떤 마음을 갖느냐에 따라 앞으로 펼쳐질 삶의 모양이 달라질 수도 있기에 자는 단어 하나, 문장 하나에도 온 마음을 담았다. “그 하룻밤, 그 책 한 권, 그 한 줄이 인생을 바꿀지도 모른다”라고 했던 니체의 말처럼, 지금 각자의 고민을 안고 힘들어하는 청소년들의 삶이 긍정으로 바뀔 순간을 떠올리며 책을 완성했다. 여기에는 자존감, 관계, 꿈, 가치관, 지성에 관한 70가지의 빛나는 문장들이 가득 담겨 있다. 하루 5분으로도 충분하다. 혼란스럽고 불확실한 것들이 가득한 세상에서 10대들의 마음을 단단하게 잡아줄 이 문장들을 읽고, 따라 쓰다 보면 지금의 많은 고민과 문제들을 해결해 나갈 내면의 힘을 키울 수 있을 것이다."
자본주의,"EBS 〈자본주의〉제작팀, 정지은, 고희정",,,,EBS MEDIA,,,가나출판사,2013년 09월,19800,9.5,979,https://www.yes24.com/product/goods/11081680,388,국내도서 경제 경영 경제 경제학 금융 화폐,"세계 32명의 석학들이 밝히는금융·소비·돈에 관한 33가지 비밀자본주의 덕분에 인류는 그 어느 체제보다 엄청난 부의 생산을 경험할 수 있었다. 우리는 지금도 자본주의 사회에 살고 있다. 하지만 우리가 정말 자본주의에 대해서 제대로 알고 있을까? 지금 자본주의는 기로에 놓여 있다. 이대로 갈 것인가, 새로운 길을 모색할 것인가. 이 책은 현재 위기를 겪고 있는 ‘자본주의’를 쉽게 풀어낸 방송, ‘EBS 다큐프라임〈자본주의〉 5부작’을 책으로 펴낸 것이다. 5부작 방송에서 미처 다 보여주지 못한 내용들이 심층적으로 보완했다.뉴스에서 나오는 ‘서브프라임 모기지’는 대체 무엇이고 왜 문제가 생겼는지, 축은행 사태는 왜 일어났는지, 마트에 가면 왜 나도 모르게 많이 사게 되는지 등 자본주의 사회의 숨은 진실과 무서움에 관해 책은 경고한다. 그리고 무의식중에 우리를 나락으로 빠뜨리는 자본주의의 유혹과 위협 속에서 어떻게 살아남을 것인지 알려준다. 1776년 아담 스미스의 『국부론』으로 거슬러 올라가 스미스와 마르크스의 관점에서 지금의 자본주의를 바라보기도 하고, 케인스와 하이에크의 ‘시장’이냐 ‘정부’냐 논쟁에서 벗어나 결국엔 ‘사람’이 가장 중요하다는 결론을 내린다.고등학교 경제 교과서에 보면 수요와 공급의 법칙이 설명되어 있다. 가격이 내려가면 소비자의 수요량은 늘어나고, 가격이 오르면 생산자는 생산량을 늘린다는 것이다. 그리고 수요량과 공급량이 만나는 지점에서 가격이 결정된다고 배운다. 그렇다면 이것으로 물가가 계속해서 오르는 원리를 설명할 수 있을까? 우리는 물가가 오르락내리락한다고 생각하기 쉽지만 실제로는 그렇지 않다. 물가는 오르기만 하고 내려가지는 않는다. 이처럼 우리가 상식이라고 생각해 왔던 자본주의 경제에 관해 생각지 못했던 숨겨진 진실들을, 이 책에서 낱낱이 파헤친다."
단 3개의 미국 ETF로 은퇴하라,김지훈(포메뽀꼬),,,,,,,리더스북,2025년 03월,17820,9.6,91,https://www.yes24.com/product/goods/143876385,324,국내도서 경제 경영 투자 재테크 주식 증권,"★ ‘싱글파이어’ 250만 조회 수 돌파 화제의 슈퍼개미★ 네이버 경제 전문 블로거 ‘포메뽀꼬’ 첫 책★ 실전 투자 ETF 포트폴리오 및 계좌 수익 공개“나는 이 투자법으로 은퇴 준비를 끝내고두 달에 한 번 해외여행을 다니는 삶에 도달했다!”‘단 3개의 미국 ETF’로 5년 만에 자산 성장 400%경제적 자유를 꿈꾸는 직장인을 위한 ETF 투자의 정석!평범한 직장인 투자자이자 네이버 경제 전문 블로거로서, 유튜브 ‘싱글파이어’에 출연해 최단기간에 조회 수 250만 회를 돌파한 화제의 슈퍼개미 ‘포메뽀꼬’의 첫 책이 드디어 출간되었다. 직장 생활 틈틈이 주식을 공부하기 시작해 자산 0원에서 34억 원, 거기에 매월 400만 원의 마르지 않는 현금흐름까지 완성한 그의 투자 비결을 한 권에 담았다.그는 복잡하고 시간이 많이 드는 투자법은 직장인에게는 맞지 않다고 말하며, “게으르게 투자하고 확실하게 부자 되는 방법”을 설명한다. 그가 찾아낸 정답은 ‘단 3개의 미국 ETF 투자법’이다. S&P500 ETF로 미국 경제 성장에 따른 꾸준한 자산 증가를 추구하며, 기술주 중심의 QQQ로 추가적인 고성장을 노리고, 여기에 SCHD를 더해 안정적인 배당 수익을 확보해두는 전략이다. 이렇게 단 3개의 ETF로 각 투자의 단점을 보완하고 장점을 극대화하는 방식을 통해 자는 불과 5년 만에 자산을 400% 성장시키고 은퇴 준비까지 끝낼 수 있었다.이 책은 자가 그간 치밀하게 설계하고 검증한 바로 이 투자법의 모든 것을 담았다. 부족한 시드머니를 마련하는 방법부터 시작해, 현재 소득과 형편에 따라 최적의 투자 비중을 배분하는 노하우, 수익을 더욱 극대화하는 재투자법과 레버리지 투자법, 연금축계좌와 IRP계좌 100% 활용법, 놓치기 쉬운 절세 방법까지 미국 ETF 투자의 전 과정을 가이드하는 가장 완벽한 투자 로드맵이다. 이 책과 함께 단 3개의 미국 ETF를 시작하는 것만으로 ‘원하는 삶을 앞당기는 돈 자동 사냥 시스템’을 갖추게 될 것이다."
단 한 번의 삶,김영하,,,,,,,복복서가,2025년 04월,15120,9.1,350,https://www.yes24.com/product/goods/144021119,양,국내도서 에세이 명사 연예인 에세이,"내 의지와 무관하게 시작된 삶이라는 사건예측 불가하고 불공평하고 질서 없는 진짜 인생을 사유하다 “때로 어떤 예감을 받을 때가 있다. 아, 이건 이 작가가 평생 단 한 번만 쓸 수 있는 글이로구나.내겐 이 책이 그런 것 같다.” (김영하)『여행의 이유』 이후 6년 만의 신작 산문- 오직 한 번만 쓸 수 있는, 나의 삶에 대하여김영하가 신작 산문 『단 한 번의 삶』을 출간했다. 60만 명이 넘는 독자의 사랑을 받은 『여행의 이유』 이후 6년 만에 선보이는 산문집으로, 유료 이메일 구독 서비스 ‘영하의 날씨’에 2024년 연재되었던 글을 대폭 수정하고 다듬어 묶었다. ‘영하의 날씨’는 초기 구독자의 초대로만 가입이 가능한 서비스로 화제를 모으며 연재 당시 뜨거운 호응을 얻었다.『단 한 번의 삶』은 작가의 지난 산문들보다 더 사적이고 한층 내밀하다. 김영하는 ‘작가 김영하’에서 벗어나, 한 번뿐인 삶을 살아가는 우리 가운데 한 사람으로서 가만히 말을 건넨다. 열네 편의 이야기에 담긴 진솔한 가족사와 직접 경험한 인생의 순간을 아우르는 깊은 사유는 우리를 멈춰 생각하게 한다. 우리는 얼마나 서로를, 그리고 자신을 모르고 살아가는가. 생각은 하나의 질문으로 수렴된다. 내 앞에 놓인 삶을 어떻게 살아가야 할까. 이 책은 독자들에게 쉬운 위로나 뻔한 조언을 건네지 않는다. 대신 담담히 풀어낸 솔직한 경험과 고민을 통해 독자들이 자신의 삶을 되돌아보게 만든다. 『단 한 번의 삶』과 함께, 두고 온 시절에서 발견한 자기 삶의 장면들을 기록해보길 권한다. “원래 나는 ‘인생 사용법’이라는 호기로운 제목으로 원고를 쓰기 시작했다. 하지만 곧 내가 인생에 대해서 자신 있게 할 말이 별로 없다는 것을 깨달았다. 내가 알고 있는 것은 그 내게 ‘단 한 번의 삶’이 주어졌다는 것뿐.”"
꽃을 보듯 너를 본다,나태주,,,,,,,지혜,2015년 06월,11700,9.5,897,https://www.yes24.com/product/goods/24259730,양,국내도서 소설 시 희곡 시 희곡 한국 시,나태주 시집 『꽃을 보듯 너를 본다』. 이 시집은 시인 나태주의 시 가운데 인터넷의 블로그나 트위터에서 자주 오르내리는 시들만 모아 엮은 책이다.“이 시집은 나의 시 가운데에서 인터넷의 블로그나 트위터에 자주 오르내리는 시들만 모은 책입니다. 그러니까 나의 책이긴 하되 독자들의 의견을 충분히 들어서 만든 책이라 하겠습니다. 나는 한 사람 시인의 대표작을 시인 자신이 정하는 것이 아니라 독자들이 정하는 것이라고 믿는 사람입니다. 그만큼 독자의 힘은 크고 막강하다. 그런 의미에서 이 시집은 나에게 특별한 느낌을 주는 책입니다. 독자들이 고른 시들만 모은 책이니 독자들이 보다 많이 사랑해주었으면 좋겠다는 생각을 더불어 가져 봅니다. 말기의 이 행성인 지구에서 또다시 종이를 없애며 책을 내는 행위가 나무들한테 햇빛한테 미안한 생각이 듭니다. 잠시 다 같이의 안녕을 빕니다.”- 작가의 말 중에서
서경석의 한국사 한 권,서경석,,,,,염명훈,,창비교육,2025년 07월,16920,9.9,78,https://www.yes24.com/product/goods/149120133,308,국내도서 사 한국사 한국문화 한국사일반,"새로운 바람을 일으킬NEW 한국사 이야기꾼의 등장!대한민국 대표 브레인 서경석이 들려주는한 번 읽으면 평생 기억하는 재미 보장 한국사재치 있는 입담과 명석한 두뇌, 친근하고 선한 행보로 30년 가까이 많은 이들의 사랑을 받아온 방송인 서경석이 이제는 ‘한국사 이야기꾼’으로서 독자들에게 첫인사를 건넨다. 스타 방송인이 된 이후에도 한국어교원 2급 자격 취득, 공인중개사 합격, 한국사능력검정시험 만점 등 끊임없이 새로운 공부에 도전하고 눈부신 성취를 일궈 낸 자타공인 공부의 신 서경석. 그는 십여 년 전부터 사람들에게 우리의 사를 재밌게 소개해 주는 ‘한국사 이야기꾼’이라는 꿈을 키웠고, 꾸준히 한국사 공부에 정진해 왔다. 그리고 오랜 꿈의 결실로 그만의 독보적인 스토리텔링과 유머가 녹아 있는 한국사책 『서경석의 한국사 한 권』을 출간하였다.이 책은 선사 시대부터 현대에 이르기까지 길고 방대한 한국사 가운데, 한국인이라면 꼭 알아야 하는 주요 사건을 엄선하였다. 자는 수십 년간 대중과 소통하고 눈 맞춰 온 그만의 이야기 전달력을 십분 발휘해 적절한 예시와 기발한 유머를 섞어 가며 어렵고 까다로운 한국사를 재밌게 설명하였다. 또 공부의 신답게 금방 다룬 한국사 이야기가 머릿속에서 휘발되지 않도록 자의 노하우를 담은 ‘한 줄 코드’를 함께 수록하였다. 웃음을 유발하는 이 코드를 곱씹다 보면, 어느새 한국사의 주요 장면을 자연스레 알게 되어 읽는 재미에 기억하는 즐거움까지 느낄 수 있다. 흥미진진한 만화, 다양한 사진과 연표 자료도 곳곳에 배치되어 독자들이 더욱 쉽고 깊게 우리 사를 이해하는 데 도움이 될 것이다. 늘 한국사와 친해지고 싶지만 어디서 어떻게 시작해야 할지 막막한 독자들, 한국인의 숙명이자 필수 교양인 한국사를 머릿속에 꼭 부여잡고 싶은 독자들에게 이 책을 적극 추천한다."
