hotel_id,hotel_name,hotel_grade,hotel_riviewCount,hotel_rating,cleanliness,service,comfort,condition,neighbourhood,hotel_locality,hotel_region
962464512,제주 애월 리조트 (Jeju Aewol Resort),2.5,9,5.4,5.0,7.0,4.8,5.4,4.0,제주시,제주특별자치도
962464512,제주 애월 리조트 (Jeju Aewol Resort),2.5,9,5.4,5.0,7.0,4.8,5.4,4.0,제주시,제주특별자치도
625413,테마 모텔 (Theme Motel),2.5,45,5.8,5.8,7.0,6.2,5.8,4.0,목포시,전라남도
625413,테마 모텔 (Theme Motel),2.5,45,5.8,5.8,7.0,6.2,5.8,4.0,목포시,전라남도
1216088832,아일랜드에프 해상호텔 (Island.F Jeju),2.5,3,7.4,8.6,6.6,8.0,7.4,8.0,서귀포시,제주특별자치도
1216088832,아일랜드에프 해상호텔 (Island.F Jeju),2.5,3,7.4,8.6,6.6,8.0,7.4,8.0,서귀포시,제주특별자치도
1229327136,라온제나 (Geoje Raonjena),3.0,3,8.0,8.0,0.0,8.0,8.0,0.0,거제시,경상남도
1229327136,라온제나 (Geoje Raonjena),3.0,3,8.0,8.0,0.0,8.0,8.0,0.0,거제시,경상남도
622758688,호텔스미스 (Hotel Smith),2.5,86,8.6,9.2,8.4,8.6,9.0,7.4,김해시,김해시
622758688,호텔스미스 (Hotel Smith),2.5,86,8.6,9.2,8.4,8.6,9.0,7.4,김해시,김해시
622758688,호텔스미스 (Hotel Smith),2.5,86,8.6,9.2,8.4,8.6,9.0,7.4,김해시,김해시
1241844512,제이엠빌리지 (JM Village Pension),3.0,2,6.0,6.0,2.0,6.0,2.0,0.0,태안군,충청남도
1241844512,제이엠빌리지 (JM Village Pension),3.0,2,6.0,6.0,2.0,6.0,2.0,0.0,태안군,충청남도
625450,제주  리조트 (Jeju Resort),3.0,33,9.4,9.6,8.8,9.0,8.6,6.0,제주시,제주특별자치도
625450,제주  리조트 (Jeju Resort),3.0,33,9.4,9.6,8.8,9.0,8.6,6.0,제주시,제주특별자치도
1055394624,호텔 애니타임 (Hotel Anytime),2.5,7,7.2,7.6,9.0,8.0,8.0,7.4,서울특별시,서울특별시
1055394624,호텔 애니타임 (Hotel Anytime),2.5,7,7.2,7.6,9.0,8.0,8.0,7.4,서울특별시,서울특별시
1241844544,이아펜션 (Eia Pension),3.0,4,8.0,7.0,10.0,7.0,6.0,0.0,태안군,충청남도
1241844544,이아펜션 (Eia Pension),3.0,4,8.0,7.0,10.0,7.0,6.0,0.0,태안군,충청남도
1063881536,나무와흙한옥펜션 (Gyeongju Namu Hanok Pension),3.0,5,10.0,9.6,10.0,9.6,9.6,0.0,경주시,경상북도
1063881536,나무와흙한옥펜션 (Gyeongju Namu Hanok Pension),3.0,5,10.0,9.6,10.0,9.6,9.6,0.0,경주시,경상북도
1467910976,투로맨틱버즈 풀펜션 (Two Romantic Birds Pool Pension),3.5,7,9.4,10.0,10.0,9.6,10.0,0.0,포천시,경기도
1467910976,투로맨틱버즈 풀펜션 (Two Romantic Birds Pool Pension),3.5,7,9.4,10.0,10.0,9.6,10.0,0.0,포천시,경기도
559942,라인호텔 (Line Hotel),2.5,2,8.0,8.0,7.0,8.0,8.0,0.0,김포시,경기도
559942,라인호텔 (Line Hotel),2.5,2,8.0,8.0,7.0,8.0,8.0,0.0,김포시,경기도
1658882880,세이지우드 홍천 호텔 (Sagewood Hongcheon Hotel),4.5,1,10.0,10.0,10.0,10.0,10.0,0.0,홍천군,강원도
1658882880,세이지우드 홍천 호텔 (Sagewood Hongcheon Hotel),4.5,1,10.0,10.0,10.0,10.0,10.0,0.0,홍천군,강원도
1008044864,블랙비치펜션 (Black Beach Pension),3.0,10,9.6,9.6,9.2,9.0,9.4,8.0,여수시,전라남도
1008044864,블랙비치펜션 (Black Beach Pension),3.0,10,9.6,9.6,9.2,9.0,9.4,8.0,여수시,전라남도
592727,더머뭄 (The Mumum),3.0,14,8.8,8.8,8.8,8.4,8.8,10.0,서귀포시,제주특별자치도
592727,더머뭄 (The Mumum),3.0,14,8.8,8.8,8.8,8.4,8.8,10.0,서귀포시,제주특별자치도
494424,순천 노블레스호텔 (Suncheon Noblesse Hotel),2.5,52,8.2,8.0,8.2,8.0,7.8,8.0,순천시,전라남도
494424,순천 노블레스호텔 (Suncheon Noblesse Hotel),2.5,52,8.2,8.0,8.2,8.0,7.8,8.0,순천시,전라남도
494424,순천 노블레스호텔 (Suncheon Noblesse Hotel),2.5,52,8.2,8.0,8.2,8.0,7.8,8.0,순천시,전라남도
658271,로아 호텔 (Loa Hotel),2.5,1,2.0,2.0,2.0,2.0,2.0,0.0,인천광역시,인천광역시
658271,로아 호텔 (Loa Hotel),2.5,1,2.0,2.0,2.0,2.0,2.0,0.0,인천광역시,인천광역시
1576536928,허브향기펜션 (Herbal Scent),3.0,1,10.0,0.0,0.0,0.0,0.0,0.0,가평군,경기도
1576536928,허브향기펜션 (Herbal Scent),3.0,1,10.0,0.0,0.0,0.0,0.0,0.0,가평군,경기도
1449331552,상상 스파펜션 (Sangsang Spa Pension),3.0,1,2.0,2.0,2.0,0.0,2.0,0.0,강릉시,강원도
1449331552,상상 스파펜션 (Sangsang Spa Pension),3.0,1,2.0,2.0,2.0,0.0,2.0,0.0,강릉시,강원도
616139616,라이크유 (Like U),2.5,24,9.2,8.8,9.2,9.2,8.8,6.0,고양시,경기도
616139616,라이크유 (Like U),2.5,24,9.2,8.8,9.2,9.2,8.8,6.0,고양시,경기도
559968,베니키아 더 에이치 호텔 (Benikea The H Hotel),3.5,25,8.4,9.0,8.6,8.4,8.8,8.0,화성시,경기도
559968,베니키아 더 에이치 호텔 (Benikea The H Hotel),3.5,25,8.4,9.0,8.6,8.4,8.8,8.0,화성시,경기도
1504611168,초록동화펜션 (Green Fairytale Pension),2.5,4,8.6,9.0,0.0,9.0,0.0,0.0,태안군,충청남도
1504611168,초록동화펜션 (Green Fairytale Pension),2.5,4,8.6,9.0,0.0,9.0,0.0,0.0,태안군,충청남도
1459653472,아레펜션 (Area),3.0,1,10.0,10.0,0.0,10.0,0.0,0.0,부안군,전라북도
1459653472,아레펜션 (Area),3.0,1,10.0,10.0,0.0,10.0,0.0,0.0,부안군,전라북도
666733408,여수로 게스트하우스  - 호스텔 (Yeosuro Guesthouse - Hostel),2.0,1,8.0,8.0,10.0,8.0,10.0,0.0,여수시,전라남도
666733408,여수로 게스트하우스  - 호스텔 (Yeosuro Guesthouse - Hostel),2.0,1,8.0,8.0,10.0,8.0,10.0,0.0,여수시,전라남도
